Turn,Rep_Fraud,NoRep_Fraud,Rep_Price,NoRep_Price
0,0.5011,0.5011,1.01725,1.01725
1,0.5092,0.508,1.0352,1.03514
2,0.5226,0.5212,1.05402,1.05388
3,0.522,0.5207,1.07329,1.0731
4,0.5349,0.5293,1.09349,1.09308
5,0.5373,0.5351,1.11434,1.11377
6,0.5364,0.5347,1.13562,1.13494
7,0.5384,0.5436,1.15759,1.15686
8,0.5406,0.5466,1.1801,1.17945
9,0.5448,0.5476,1.20315,1.20265
10,0.5473,0.5515,1.22701,1.22658
11,0.5501,0.5513,1.25145,1.25097
12,0.5556,0.5598,1.27688,1.27647
13,0.5583,0.5651,1.30303,1.3028
14,0.5599,0.5677,1.32986,1.32988
15,0.557,0.5686,1.35712,1.35767
16,0.5664,0.5744,1.38578,1.38639
17,0.5567,0.5758,1.41445,1.41596
18,0.5633,0.5815,1.44427,1.44643
19,0.5604,0.5871,1.47472,1.47824
20,0.5625,0.5846,1.50599,1.51044
21,0.5642,0.5868,1.53824,1.54366
22,0.5588,0.5934,1.57098,1.57794
23,0.5614,0.5976,1.60468,1.61362
24,0.5622,0.5946,1.63923,1.64992
25,0.5589,0.6127,1.67433,1.68834
26,0.5621,0.6145,1.71073,1.72793
27,0.5552,0.6156,1.74748,1.76857
28,0.5549,0.6211,1.78498,1.81099
29,0.5597,0.6166,1.82389,1.85413
30,0.5539,0.6176,1.86325,1.8982
31,0.5548,0.6261,1.90386,1.94422
32,0.5533,0.6273,1.94525,1.9916
33,0.5503,0.6283,1.98751,2.04021
34,0.5481,0.6298,2.03048,2.09028
35,0.552,0.639,2.07483,2.14245
36,0.5473,0.6429,2.12002,2.19638
37,0.5449,0.6381,2.16578,2.2514
38,0.5353,0.6521,2.21193,2.30923
39,0.5392,0.6564,2.25963,2.3691
40,0.5423,0.6493,2.30865,2.4299
41,0.5348,0.6451,2.358,2.49204
42,0.5341,0.6532,2.40837,2.55661
43,0.5264,0.6476,2.45923,2.62253
44,0.5262,0.6555,2.51138,2.6911
45,0.5272,0.6586,2.56475,2.76215
46,0.5159,0.6537,2.61827,2.8346
47,0.5175,0.6541,2.67324,2.90899
48,0.5158,0.6579,2.72878,2.98596
49,0.518,0.6571,2.78601,3.06476
50,0.5103,0.6644,2.84345,3.14724
51,0.4976,0.6689,2.9009,3.23232
52,0.5026,0.6633,2.96005,3.31915
53,0.5013,0.6702,3.02043,3.40917
54,0.4874,0.6704,3.08051,3.50201
55,0.494,0.6637,3.14243,3.59593
56,0.4792,0.6641,3.20382,3.69288
57,0.4785,0.6668,3.26622,3.79287
58,0.4739,0.6671,3.32909,3.89584
59,0.4721,0.6668,3.39286,4.00119
60,0.4596,0.6711,3.45616,4.11029
61,0.4684,0.6669,3.52195,4.22192
62,0.4541,0.6667,3.58686,4.33639
63,0.4514,0.6621,3.6527,4.45289
64,0.4483,0.6641,3.71907,4.5736
65,0.4498,0.6724,3.78691,4.69892
66,0.43,0.6649,3.85312,4.8259
67,0.4356,0.6654,3.92138,4.95676
68,0.4338,0.6608,3.99036,5.08992
69,0.4281,0.6591,4.05967,5.22627
