Run,Condition,AvgMoney,AvgFraudRate,PriceVolatility
0,Reputation,18.0615,0.38385,0.0372577
0,NoReputation,19.7298,0.3846,0.0372577
1,Reputation,17.5965,0.4193,0.0372577
1,NoReputation,19.3367,0.42585,0.0372577
2,Reputation,225352,0.40625,1.27857e+07
2,NoReputation,277895,0.3501,1.27857e+07
3,Reputation,229245,0.441,1.27857e+07
3,NoReputation,290261,0.35205,1.27857e+07
4,Reputation,225152,0.3923,1.27857e+07
4,NoReputation,281642,0.34365,1.27857e+07
5,Reputation,17.9225,0.4143,0.0372577
5,NoReputation,19.9719,0.4166,0.0372577
6,Reputation,219464,0.4056,1.27857e+07
6,NoReputation,289791,0.35635,1.27857e+07
7,Reputation,18.4501,0.39195,0.0372577
7,NoReputation,20.6657,0.40095,0.0372577
8,Reputation,238876,0.4206,1.27857e+07
8,NoReputation,295020,0.36315,1.27857e+07
9,Reputation,17.6445,0.3773,0.0372577
9,NoReputation,19.8102,0.3818,0.0372577
10,Reputation,18.9927,0.39705,0.0372577
10,NoReputation,21.1183,0.3972,0.0372577
11,Reputation,17.9079,0.40325,0.0372577
11,NoReputation,19.9613,0.41185,0.0372577
12,Reputation,224684,0.42265,1.27857e+07
12,NoReputation,295608,0.36445,1.27857e+07
13,Reputation,17.2594,0.3962,0.0372577
13,NoReputation,19.7976,0.40965,0.0372577
14,Reputation,17.0096,0.39955,0.0372577
14,NoReputation,19.4317,0.40375,0.0372577
15,Reputation,17.7195,0.4009,0.0372577
15,NoReputation,19.4002,0.39985,0.0372577
16,Reputation,17.2393,0.419,0.0372577
16,NoReputation,19.3907,0.40595,0.0372577
17,Reputation,17.8409,0.4367,0.0372577
17,NoReputation,19.5824,0.43745,0.0372577
18,Reputation,16.4992,0.43705,0.0372577
18,NoReputation,18.8624,0.4457,0.0372577
19,Reputation,17.7506,0.38875,0.0372577
19,NoReputation,20.384,0.41465,0.0372577
20,Reputation,199334,0.42345,1.27857e+07
20,NoReputation,287817,0.36035,1.27857e+07
21,Reputation,18.8161,0.38375,0.0372577
21,NoReputation,20.2044,0.37935,0.0372577
22,Reputation,239715,0.418,1.27857e+07
22,NoReputation,295289,0.3626,1.27857e+07
23,Reputation,18.5206,0.3705,0.0372577
23,NoReputation,20.6447,0.3703,0.0372577
24,Reputation,17.4529,0.3852,0.0372577
24,NoReputation,19.7743,0.38085,0.0372577
25,Reputation,233594,0.4288,1.27857e+07
25,NoReputation,291532,0.3892,1.27857e+07
26,Reputation,195255,0.3946,1.27857e+07
