Turn,AvgReputation,FraudsterReputation,HonestReputation,FraudsterCount,
0,0.500097,0.500179,0.5,54,0.481402
0,0.49989,0.499796,0.5,54,0.492068
0,0.499979,0.49996,0.5,54,0.502241
0,0.499977,0.499956,0.5,54,0.512295
0,0.4999,0.499956,0.499833,54,0.522041
0,0.499652,0.499956,0.499294,54,0.531307
0,0.499581,0.499956,0.499141,54,0.540255
0,0.499449,0.499711,0.499141,54,0.548868
0,0.499222,0.499711,0.498648,54,0.557019
0,0.499247,0.499757,0.498648,54,0.565186
0,0.498978,0.499757,0.498062,54,0.57262
0,0.499037,0.499868,0.498062,54,0.579151
0,0.499204,0.500177,0.498062,54,0.58471
0,0.498907,0.500177,0.497416,54,0.589919
0,0.499101,0.500177,0.497837,54,0.595082
0,0.499109,0.500177,0.497855,54,0.599586
0,0.499114,0.500187,0.497855,54,0.604038
0,0.49882,0.500187,0.497216,54,0.608378
0,0.498534,0.499657,0.497216,54,0.612811
0,0.498497,0.499657,0.497134,54,0.616894
0,0.498397,0.499473,0.497134,54,0.620749
0,0.498123,0.499473,0.496537,54,0.624053
0,0.498307,0.499815,0.496537,54,0.627421
0,0.498125,0.499815,0.496141,54,0.630304
0,0.497872,0.499815,0.495592,54,0.63281
0,0.497881,0.499831,0.495592,54,0.634955
0,0.497773,0.499831,0.495357,54,0.6371
0,0.497962,0.500181,0.495357,54,0.639245
0,0.497895,0.500181,0.495212,54,0.64139
0,0.498024,0.500181,0.495491,54,0.643427
0,0.498063,0.500181,0.495576,54,0.645123
0,0.497988,0.500181,0.495414,54,0.646819
0,0.497697,0.500181,0.494782,54,0.648245
0,0.497866,0.500494,0.494782,54,0.64942
0,0.497848,0.500459,0.494782,54,0.650468
0,0.497741,0.500262,0.494782,54,0.651454
0,0.497451,0.500262,0.494152,54,0.652288
0,0.497268,0.500262,0.493754,54,0.652974
0,0.49709,0.499932,0.493754,54,0.653623
0,0.497131,0.500007,0.493754,54,0.654146
0,0.497135,0.500007,0.493764,54,0.654591
0,0.49725,0.50022,0.493764,54,0.655036
0,0.497038,0.50022,0.493303,54,0.655391
0,0.496934,0.500027,0.493303,54,0.655622
0,0.496727,0.500027,0.492853,54,0.655854
0,0.496804,0.500027,0.493019,54,0.656086
0,0.496716,0.499866,0.493019,54,0.656282
0,0.496522,0.499506,0.493019,54,0.656284
0,0.496505,0.499475,0.493019,54,0.656285
0,0.496223,0.499475,0.492406,54,0.656287
0,0.496343,0.499696,0.492406,54,0.656289
0,0.496268,0.499558,0.492406,54,0.656292
0,0.496166,0.499369,0.492406,54,0.656294
0,0.496327,0.499668,0.492406,54,0.656296
0,0.49639,0.499668,0.492542,54,0.656299
0,0.496254,0.499416,0.492542,54,0.656301
0,0.496239,0.499388,0.492542,54,0.656208
0,0.496199,0.499315,0.492542,54,0.656091
0,0.496377,0.499315,0.492929,54,0.655975
0,0.496498,0.499315,0.493191,54,0.655859
0,0.49657,0.499315,0.493349,54,0.655743
0,0.49654,0.499315,0.493283,54,0.655628
0,0.496533,0.499301,0.493283,54,0.655512
0,0.496713,0.499301,0.493675,54,0.655397
0,0.496716,0.499307,0.493675,54,0.655281
0,0.496555,0.499009,0.493675,54,0.655166
0,0.496405,0.499009,0.493347,54,0.655051
0,0.496189,0.49861,0.493347,54,0.654936
0,0.495899,0.49861,0.492717,54,0.654821
0,0.495811,0.498447,0.492717,54,0.654706
0,0.491791,0.491002,0.492717,54,0.654591
0,0.491639,0.491002,0.492386,54,0.654477
0,0.491348,0.491002,0.491754,54,0.654362
0,0.491149,0.490633,0.491754,54,0.654248
0,0.491204,0.490734,0.491754,54,0.654133
0,0.491297,0.490907,0.491754,54,0.654019
0,0.4913,0.490912,0.491754,54,0.653905
0,0.491461,0.49121,0.491754,54,0.653791
0,0.491485,0.49121,0.491808,54,0.653678
0,0.491641,0.49121,0.492146,54,0.653564
0,0.491764,0.49121,0.492414,54,0.65345
0,0.487749,0.483775,0.492414,54,0.653337
0,0.487499,0.483312,0.492414,54,0.653224
0,0.487385,0.483312,0.492166,54,0.65311
0,0.487418,0.483312,0.492239,54,0.652997
0,0.487451,0.483312,0.492309,54,0.652884
